subject_number,trial_number,f,psd_mean,fitted,detrended,Delta,Theta,Alpha,Beta,ADR
sub-01,0,"[ 1.953125  3.90625   5.859375  7.8125    9.765625 11.71875  13.671875
 15.625    17.578125 19.53125  21.484375 23.4375   25.390625 27.34375
 29.296875 31.25     33.203125 35.15625  37.109375 39.0625   41.015625
 42.96875  44.921875]","[40.62106234  9.12811495  3.4618817   1.49876168  0.90319833  0.66889484
  0.58895655  0.48346098  0.50500476  0.51408735  0.4630953   0.4334487
  0.4765459   0.46405318  0.46395096  0.4628181   0.622781    0.51641114
  0.59487966  0.44341154  0.49539272  0.45748751  0.61469395]","[56.69289943  4.18628227  1.75628552  1.13757078  0.87661402  0.73682056
  0.65083553  0.59299822  0.55159113  0.52055711  0.49646886  0.47724902
  0.4615684   0.44853858  0.43754397  0.42814499  0.42001959  0.41292655
  0.40668175  0.40114221  0.3961953   0.39175106  0.38773683]","[0.71651058 2.18048243 1.97113832 1.3175107  1.03032613 0.9078124
 0.90492379 0.81528235 0.91554185 0.98757147 0.93277813 0.90822335
 1.03244916 1.03458922 1.06035276 1.08098451 1.48274275 1.25061258
 1.4627646  1.10537243 1.25037508 1.16780159 1.58533803]",1.448496507506002,1.9711383202478674,0.9690692691838376,0.9546346763755262,0.6690173322215085
sub-01,1,"[ 1.953125  3.90625   5.859375  7.8125    9.765625 11.71875  13.671875
 15.625    17.578125 19.53125  21.484375 23.4375   25.390625 27.34375
 29.296875 31.25     33.203125 35.15625  37.109375 39.0625   41.015625
 42.96875  44.921875]","[4.94079229 2.48072286 1.21249635 0.6782245  0.42883626 0.2937264
 0.28105891 0.25883092 0.20764142 0.18365339 0.20657865 0.23177017
 0.21544913 0.16175543 0.15777546 0.13397735 0.13760715 0.13619725
 0.10920714 0.10742171 0.11476807 0.10966957 0.11748782]","[7.34334481 1.05135204 0.5500045  0.39780962 0.32753726 0.28772945
 0.26229312 0.24470274 0.23184106 0.22204017 0.21433024 0.2081102
 0.20298829 0.19869853 0.19505414 0.19192017 0.18919675 0.18680839
 0.184697   0.18281717 0.18113286 0.17961513 0.1782405 ]","[0.67282586 2.35955491 2.20452078 1.70489717 1.30927476 1.02084232
 1.07154509 1.05773606 0.89561971 0.82711784 0.96383341 1.11368965
 1.061387   0.81407464 0.80888037 0.69808896 0.727323   0.72907458
 0.5912773  0.58759094 0.63361266 0.61058091 0.65915334]",1.5161903851460528,2.2045207843919767,1.1650585394338433,0.9570981963957647,0.7684117712708056
sub-01,2,"[ 1.953125  3.90625   5.859375  7.8125    9.765625 11.71875  13.671875
 15.625    17.578125 19.53125  21.484375 23.4375   25.390625 27.34375
 29.296875 31.25     33.203125 35.15625  37.109375 39.0625   41.015625
 42.96875  44.921875]","[2.42099707 1.42411066 0.82837964 0.59082811 0.43585962 0.32476661
 0.27694164 0.21130817 0.18125931 0.16655845 0.15216638 0.14365575
 0.13473475 0.11621827 0.10629534 0.10875403 0.0887779  0.0809945
 0.07943285 0.07115674 0.07600015 0.07104156 0.07460423]","[3.5910369  0.65461471 0.3711713  0.27949157 0.23574652 0.21045683
 0.19407134 0.18262498 0.17419107 0.16772526 0.16261397 0.15847375
 0.15505293 0.15217963 0.14973254 0.14762364 0.14578753 0.14417461
 0.1427466  0.14147349 0.14033141 0.13930117 0.13836711]","[0.67417772 2.17549444 2.23179872 2.11393897 1.84884855 1.54315074
 1.4270095  1.15706059 1.04057751 0.99304333 0.93575217 0.90649553
 0.8689597  0.76369135 0.70990137 0.73669792 0.60895398 0.56178062
 0.55646053 0.50296876 0.54157616 0.50998538 0.53917603]",1.4248360791361985,2.2317987202512235,1.6959996483723834,0.9780545603542645,1.190312116043957
sub-01,3,"[ 1.953125  3.90625   5.859375  7.8125    9.765625 11.71875  13.671875
 15.625    17.578125 19.53125  21.484375 23.4375   25.390625 27.34375
 29.296875 31.25     33.203125 35.15625  37.109375 39.0625   41.015625
 42.96875  44.921875]","[2.19616662 1.43769726 0.80003653 0.46350519 0.36347087 0.31698759
 0.26899915 0.20545927 0.14406796 0.13826157 0.14495179 0.15386457
 0.14571576 0.12241628 0.12898847 0.10642345 0.09581162 0.09338201
 0.09691019 0.09105882 0.08152133 0.0795982  0.0848863 ]","[3.28323273 0.62575472 0.36011258 0.27318407 0.23145449 0.20723946
 0.19151007 0.18050157 0.17237879 0.16614455 0.16121189 0.15721339
 0.1539076  0.15112945 0.14876232 0.14672151 0.14494406 0.14338219
 0.141999   0.14076554 0.13965879 0.1386602  0.13775469]","[0.66890373 2.2975412  2.22162894 1.69667724 1.57037726 1.5295716
 1.40462146 1.13826859 0.83576384 0.83217635 0.89913832 0.97869887
 0.94677429 0.81000944 0.86707755 0.72534322 0.66102479 0.65128041
 0.68247096 0.64688291 0.58371783 0.57405224 0.61621351]",1.4832224638308333,2.2216289414238264,1.5499744308282373,0.9680587466970789,1.0450046898730205
sub-01,4,"[ 1.953125  3.90625   5.859375  7.8125    9.765625 11.71875  13.671875
 15.625    17.578125 19.53125  21.484375 23.4375   25.390625 27.34375
 29.296875 31.25     33.203125 35.15625  37.109375 39.0625   41.015625
 42.96875  44.921875]","[5.37121257 2.62372011 1.11111787 0.55874177 0.35712215 0.29656029
 0.26418282 0.192715   0.14134316 0.13727174 0.12059102 0.12859618
 0.11989389 0.10199088 0.08941684 0.08189008 0.06860124 0.06757962
 0.07135274 0.06614186 0.06008132 0.06366625 0.06410806]","[8.98799138 0.91650249 0.42817764 0.2926639  0.23292508 0.20003884
 0.17943149 0.16538149 0.15521884 0.14754023 0.14154113 0.13672864
 0.13278456 0.1294946  0.12670931 0.12432137 0.12225176 0.12044105
 0.11884369 0.11742418 0.11615449 0.11501213 0.11397893]","[0.59759877 2.86275283 2.59499273 1.90915851 1.5332061  1.48251357
 1.47233258 1.16527547 0.91060571 0.93040208 0.85198574 0.94052121
 0.90292041 0.78760719 0.70568488 0.65869671 0.56114727 0.5611012
 0.60039149 0.56327289 0.51725355 0.55356112 0.56245533]",1.7301757996013345,2.59499272933012,1.5078598332664783,0.9630372548606334,0.8715067183426782
sub-01,5,"[ 1.953125  3.90625   5.859375  7.8125    9.765625 11.71875  13.671875
 15.625    17.578125 19.53125  21.484375 23.4375   25.390625 27.34375
 29.296875 31.25     33.203125 35.15625  37.109375 39.0625   41.015625
 42.96875  44.921875]","[10.95787765  7.81413763  2.33914272  0.97651827  0.5498132   0.44777215
  0.29293001  0.22356345  0.18966272  0.17066999  0.15459789  0.14734313
  0.15036716  0.13915248  0.11490999  0.10031846  0.09053391  0.08316206
  0.08088721  0.0911428   0.08524141  0.08195426  0.08889175]","[22.95339442  1.59943126  0.65817058  0.4222065   0.32347206  0.2708391
  0.23857326  0.21692249  0.20145079  0.18987182  0.18089489  0.17373919
  0.16790591  0.16306209  0.15897729  0.15548712  0.15247124  0.1498396
  0.14752351  0.14546964  0.14363604  0.14198919  0.14050204]","[0.47739683 4.88557265 3.5540068  2.31289259 1.69972392 1.65327737
 1.22784093 1.03061447 0.9414841  0.89886952 0.8546283  0.84807076
 0.89554415 0.85337112 0.7228076  0.64518824 0.59377696 0.55500723
 0.5483005  0.62654173 0.5934542  0.57718666 0.63267231]",2.6814847374689466,3.5540067961146766,1.676500641004758,0.9192478827322526,0.6252135682812825
sub-01,6,"[ 1.953125  3.90625   5.859375  7.8125    9.765625 11.71875  13.671875
 15.625    17.578125 19.53125  21.484375 23.4375   25.390625 27.34375
 29.296875 31.25     33.203125 35.15625  37.109375 39.0625   41.015625
 42.96875  44.921875]","[3.7514519  1.98766985 1.3952912  0.85010753 0.70956567 0.57716489
 0.48097126 0.35356237 0.29992673 0.32901162 0.32285344 0.32802191
 0.26992887 0.27290007 0.33749568 0.25799279 0.20927345 0.28897902
 0.33526223 0.269537   0.29434073 0.20894168 0.26881483]","[4.90574947 1.11915919 0.68383926 0.53454604 0.46110918 0.41784595
 0.38945174 0.36942964 0.35457131 0.34311607 0.33401943 0.32662339
 0.32049326 0.31533052 0.31092346 0.30711785 0.30379865 0.30087838
 0.2982893  0.29597819 0.29390262 0.29202837 0.29032754]","[0.76470515 1.77603853 2.04037889 1.59033549 1.53882358 1.38128631
 1.23499579 0.95704927 0.84588551 0.95889306 0.96657086 1.00428175
 0.84222948 0.86544135 1.08546223 0.84004493 0.68885578 0.96045129
 1.12394988 0.91066507 1.00149066 0.71548418 0.92590193]",1.2703718440867062,2.040378892688025,1.4600549467618835,0.9734232552919069,1.1493130562977363
sub-01,7,"[ 1.953125  3.90625   5.859375  7.8125    9.765625 11.71875  13.671875
 15.625    17.578125 19.53125  21.484375 23.4375   25.390625 27.34375
 29.296875 31.25     33.203125 35.15625  37.109375 39.0625   41.015625
 42.96875  44.921875]","[7.78702294 2.67454255 1.3209334  0.7035311  0.57042916 0.50056334
 0.31103439 0.2153706  0.15341354 0.12708568 0.13900243 0.13322885
 0.12468328 0.11565159 0.09360772 0.0860778  0.07868603 0.07205912
 0.06611299 0.05614682 0.05850923 0.0621731  0.05968008]","[12.21742429  1.08922931  0.48659302  0.32522892  0.25538955  0.21737642
  0.1937399   0.17771499  0.16617331  0.15748205  0.15071021  0.14528999
  0.1408562   0.13716365  0.13404183  0.13136859  0.12905415  0.12703112
  0.12524794  0.12366449  0.1222491   0.12097645  0.11982603]","[0.63737026 2.45544488 2.71465752 2.16318742 2.23356501 2.30274903
 1.60542242 1.2118876  0.92321403 0.80698517 0.92231593 0.91698571
 0.88518136 0.84316499 0.69834704 0.65523884 0.60971327 0.56725566
 0.52785692 0.45402537 0.47860663 0.51392727 0.49805606]",1.5464075731831404,2.7146575166673266,2.2681570172763585,0.9792782494108779,1.466726532260549
sub-01,8,"[ 1.953125  3.90625   5.859375  7.8125    9.765625 11.71875  13.671875
 15.625    17.578125 19.53125  21.484375 23.4375   25.390625 27.34375
 29.296875 31.25     33.203125 35.15625  37.109375 39.0625   41.015625
 42.96875  44.921875]","[5.8596929  4.27158154 1.92941246 0.93386287 0.72305138 0.50421484
 0.31882413 0.21927328 0.17336977 0.14864503 0.1325242  0.14671777
 0.12636426 0.10619254 0.09936688 0.09508071 0.08890898 0.08428972
 0.07051453 0.06569348 0.0669135  0.06072501 0.05988853]","[11.35630011  1.0945554   0.50184705  0.33981159  0.2689294   0.23009385
  0.20583731  0.18933827  0.17742557  0.16843737  0.16142312  0.15580157
  0.15119805  0.14736059  0.14411367  0.14133135  0.13892101  0.13681302
  0.13495405  0.13330258  0.13182581  0.1304975   0.12929638]","[0.51598609 3.90257227 3.84462251 2.74817837 2.688629   2.19134432
 1.54891324 1.15810331 0.97714082 0.88249434 0.8209741  0.9416964
 0.83575322 0.72063053 0.68950352 0.67275031 0.63999662 0.61609433
 0.52250772 0.49281479 0.50759024 0.46533469 0.46318793]",2.209279179697436,3.844622508467712,2.43998665875038,0.9528010534702473,1.1044265845498709
sub-01,9,"[ 1.953125  3.90625   5.859375  7.8125    9.765625 11.71875  13.671875
 15.625    17.578125 19.53125  21.484375 23.4375   25.390625 27.34375
 29.296875 31.25     33.203125 35.15625  37.109375 39.0625   41.015625
 42.96875  44.921875]","[3.82373959 2.51784467 1.47026991 0.73123373 0.51739792 0.41974546
 0.34892657 0.22748949 0.19833165 0.16426422 0.15344869 0.13242663
 0.11656842 0.08693871 0.08099014 0.07998184 0.07575795 0.0574296
 0.06013346 0.05458894 0.06351155 0.06714462 0.06153949]","[6.71853293 0.85209542 0.42811406 0.30345558 0.24684055 0.21509522
 0.19495153 0.18109171 0.17099674 0.16332748 0.15730917 0.15246367
 0.1484804  0.14514909 0.14232248 0.13989439 0.13778637 0.13593927
 0.13430759 0.13285584 0.13155587 0.13038512 0.12932528]","[0.56913312 2.95488582 3.43429483 2.40968955 2.09608155 1.95144024
 1.78981193 1.25621149 1.15985628 1.00573538 0.97545925 0.86857824
 0.78507615 0.59896146 0.56906076 0.57173015 0.54982178 0.4224651
 0.44772939 0.41088855 0.48277248 0.51497145 0.47585046]",1.7620094671782356,3.434294830707073,2.0237608937703655,1.000972325451666,1.1485527924042944
